# path<TAB>line_limit_or_current_baseline
apps/api/api/account/admin.py	1101
apps/api/api/account/selectors.py	2533
apps/api/api/account/services/access_control.py	1652
apps/api/api/account/tests.py	8954
apps/api/api/account/views.py	1248
apps/api/api/activity/services/activity_logs.py	1068
apps/api/api/appstore/views.py	1163
apps/api/api/assistant/tests.py	2376
apps/api/api/data_movement/ct_process_comment/services/summary.py	1248
apps/api/api/data_movement/ct_process_comment/tests.py	1724
apps/api/api/drone/selectors.py	1893
apps/api/api/drone/tests.py	9571
apps/api/api/drone/views.py	2464
apps/api/api/emails/selectors.py	1047
apps/api/api/emails/tests.py	2581
apps/api/api/emails/views.py	1042
apps/api/api/l3_spider/tests.py	1845
apps/api/api/observer/selectors.py	2171
apps/api/api/observer/services/analysis.py	1032
apps/api/api/observer/tests.py	2408
